experiment,freq,ffill_limit,max_lag,rolling_window,rolling_min_periods,max_granger_lag,item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
g6_7d_ffill3_granger3d,1H,3,7D,7D,5D,3D,5.8x42mm DVC12,14.0,2.4217698587375616e-36,17.0,3.5994296438276532e-40,-162.0,0.6708127677947361,-162.0,0.6708127677947361,6.0,0.1218719715771933,-162.0,0.6708127677947361
g6_7d_ffill3_granger3d,1H,3,7D,7D,5D,3D,6.8x51mm Hybrid,12.0,7.43904002986316e-41,18.0,3.266613950102803e-37,-161.0,0.7455486619779778,-161.0,0.7455486619779778,7.0,0.3784496113618105,-161.0,0.7455486619779778
g6_7d_ffill3_granger3d,1H,3,7D,7D,5D,3D,7.62x39mm AP,14.0,1.7149417348481205e-65,17.0,6.09371268230063e-63,151.0,0.6685373212082045,151.0,0.6685373212082045,151.0,0.6685373212082045,-17.0,0.5536339377234251
g6_7d_ffill3_granger3d,1H,3,7D,7D,5D,3D,7.62x51mm M62,13.0,2.575084887669425e-70,17.0,1.6051217146789312e-75,127.0,0.6879242236985692,127.0,0.6879242236985692,127.0,0.6879242236985692,-17.0,0.6608378902785316
g6_7d_ffill3_granger3d,1H,3,7D,7D,5D,3D,7.62x54R BT,8.0,5.656379218234683e-16,16.0,2.1719264045368875e-16,30.0,0.4579007412163415,30.0,0.4579007412163415,30.0,0.4579007412163415,-18.0,0.4395979083397787
g6_7d_ffill3_granger3d,1H,3,7D,7D,5D,3D,9x39mm BP,14.0,1.139461279939154e-83,16.0,3.8175995103198296e-86,-161.0,0.4851610426205414,110.0,-0.627070764097236,151.0,0.3033302388404753,-161.0,0.4851610426205414
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,12.7x55mm PS12B,5.0,1.4733595448191777e-11,7.0,7.390643731974104e-09,-164.0,0.3142498009690742,134.0,-0.3878538211686655,6.0,0.0509062982366902,-164.0,0.3142498009690742
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,4.6x30mm AP SX,7.0,3.604058016187492e-40,9.0,5.959503747092711e-32,-162.0,0.4483942596125858,134.0,-0.4889792418023626,6.0,0.1173801820536131,-162.0,0.4483942596125858
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,5.56x45mm M995,6.0,1.3690245875406696e-44,7.0,7.994134316284517e-33,-162.0,0.7280210385318875,-162.0,0.7280210385318875,126.0,0.612834990486317,-162.0,0.7280210385318875
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,5.7x28mm SS190,9.0,9.472954197865283e-15,9.0,1.3186931887436273e-17,-162.0,0.4268569206050411,-162.0,0.4268569206050411,6.0,0.1150314962416904,-162.0,0.4268569206050411
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,5.8x42mm DVC12,7.0,3.654911432566107e-38,9.0,1.7875648109998987e-32,-162.0,0.7308971417150436,-162.0,0.7308971417150436,6.0,0.155980031217314,-162.0,0.7308971417150436
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,6.8x51mm Hybrid,6.0,3.0073232746876475e-42,9.0,1.9555353323357156e-31,-162.0,0.7239329301324873,-162.0,0.7239329301324873,6.0,0.366579088925149,-162.0,0.7239329301324873
