time_utc,5.56x45mm M995,6.8x51mm Hybrid,7.62x39mm AP,7.62x51mm M62,7.62x54R BT,9x19mm PBP,9x39mm BP
2025-10-09 21:00:00+00:00,0.3103200357690795,0.22658961522140744,0.27496138952523547,0.28682732433529645,0.26187654971860963,-0.4045371357472179,0.1418270946047912
2025-10-09 22:00:00+00:00,0.32255428163333183,0.23787315410166923,0.2955489936440039,0.2979910424491213,0.3015953547683236,-0.413923188177519,0.13888108430279772
2025-10-09 23:00:00+00:00,0.32255428163333183,0.2291463281668181,0.3233724306522186,0.29136794110633824,0.3015953547683236,-0.4250870481691746,0.13406156385591494
2025-10-10 00:00:00+00:00,0.32255428163333183,0.2188284291895418,0.3507770368343191,0.28206656772983435,0.3015953547683236,-0.43941891268110206,0.13903228573830428
2025-10-10 01:00:00+00:00,0.32157846284947517,0.21104321654620034,0.4032390776048157,0.2537885611713343,0.2909012784959422,-0.4699584905475746,0.11940935948172676
2025-10-10 02:00:00+00:00,0.2961112298270881,0.19575364390796465,0.38552234188520973,0.20715988097600085,0.23085484471887466,-0.4789606630467053,0.053648909816398443
2025-10-10 03:00:00+00:00,0.2841174047163319,0.19575364390796465,0.34329603319508484,0.21821837125675658,0.23085484471887466,-0.42014414698413305,0.04618268560811426
2025-10-10 04:00:00+00:00,0.2770680331285116,0.19575364390796465,0.30017344082835434,0.22442186239513587,0.23085484471887466,-0.3938046098092545,0.0415457702026888
2025-10-10 05:00:00+00:00,0.26191625566740123,0.20772224024256142,0.2743172712069966,0.2305530094492596,0.23085484471887466,-0.3714133081145628,0.031981039277436465
2025-10-10 06:00:00+00:00,0.22489051353909342,0.23326866223958495,0.22272157545476662,0.2305530094492596,0.23085484471887466,-0.34366487462488915,0.02695576088234113
2025-10-10 07:00:00+00:00,0.19496522414866846,0.23326866223958495,0.17099596604383957,0.23934827690249424,0.19413710774698692,-0.3153386860852378,0.03205518496907714
2025-10-10 08:00:00+00:00,0.1853269091263435,0.23326866223958495,0.14261664811019625,0.23934827690249424,0.15836927483421542,-0.29525439048805935,0.03205518496907714
2025-10-10 09:00:00+00:00,0.17666330447959352,0.2414635316253273,0.13701600465697003,0.23934827690249424,0.14329326934988412,-0.29156072073277745,0.03205518496907714
2025-10-10 10:00:00+00:00,0.16926325436207676,0.24814195166456324,0.12693989586232593,0.24558713638594565,0.14329326934988412,-0.28837713710446733,0.029974792323358496
2025-10-10 11:00:00+00:00,0.16196530818238006,0.25495151865347154,0.11682574391233692,0.24908215360105274,0.12859821149602144,-0.28585839796153295,0.029974792323358496
2025-10-10 12:00:00+00:00,0.1636657205129506,0.2556678584973868,0.11809177234302591,0.24881555150043475,0.1259556714041447,-0.28427716631982297,0.030501904262477182
2025-10-10 13:00:00+00:00,0.16568230417314908,0.256358947139249,0.12059518353960111,0.2485580544531719,0.12837551796153301,-0.2794835869816349,0.031010881208243652
2025-10-10 14:00:00+00:00,0.16760794224733214,0.2570260968009249,0.12297773942822895,0.24941690440037076,0.13067963070666844,-0.2705889493298768,0.032333873450921376
2025-10-10 15:00:00+00:00,0.16944896908443488,0.25767053031803266,0.1240348567160545,0.2502458317045642,0.13287661439881873,-0.26229772289912723,0.03438433663288217
2025-10-10 16:00:00+00:00,0.18147872986913668,0.259717860770759,0.12844979225510306,0.2534881558922757,0.12231284156779311,-0.2700979647967443,0.043344507292894914
2025-10-10 17:00:00+00:00,0.19683416848274027,0.2691069225412712,0.14102179643383814,0.2613524284798968,0.11227217828477785,-0.28221760707794924,0.05528075508892843
2025-10-10 18:00:00+00:00,0.21110923916308552,0.28631304881139846,0.1448313749483164,0.2779734675266853,0.1248177981002582,-0.2935594925568114,0.06327805177237769
2025-10-10 19:00:00+00:00,0.22441765358876548,0.30300543095956517,0.15629542248152586,0.29314062342885533,0.11520453868469242,-0.2998985926166027,0.07408815904695887
2025-10-10 20:00:00+00:00,0.2368572747295537,0.3180544558619236,0.16711997045871424,0.30824778953344945,0.12698078617485986,-0.3059391011025908,0.08433915821580941
2025-10-10 21:00:00+00:00,0.24851284730117582,0.3312224895271939,0.17009556436775924,0.32094233116817067,0.11776432227040261,-0.3117016677115122,0.09407335079635705
2025-10-10 22:00:00+00:00,0.25945817219680634,0.3401857314574094,0.17295525560749528,0.33103712698042653,0.10896075543410927,-0.31720507765987005,0.09116732023034146
2025-10-10 23:00:00+00:00,0.25905833363785974,0.3391778258070961,0.16747155998932298,0.3270370701308366,0.10054288914399885,-0.3224664578173563,0.07504631209173042
2025-10-11 00:00:00+00:00,0.25867839208666066,0.331266179680617,0.15303814168539115,0.31244825389719794,0.07017527293604175,-0.32750145604174646,0.05329172959051256
2025-10-11 01:00:00+00:00,0.2562040380347031,0.3153007022389002,0.1576013261333467,0.28614186158877025,0.05673878753281233,-0.3350975177187957,0.021870411174212793
2025-10-11 02:00:00+00:00,0.2787750124130992,0.3044171788013322,0.18746767664646546,0.26943494245957766,0.01092912492493776,-0.4031180185699718,0.03679009516346386
2025-10-11 03:00:00+00:00,0.26728822680652586,0.32016738123590033,0.18746767664646546,0.289819628665422,0.01092912492493776,-0.35881663870846975,0.03679009516346386
2025-10-11 04:00:00+00:00,0.259851001983906,0.3302681548434563,0.1618834703886022,0.2958435606061998,0.01092912492493776,-0.33436746256604766,0.03679009516346386
2025-10-11 05:00:00+00:00,0.22808303384599685,0.30849420555254536,0.13594422736659262,0.30183378725726284,0.04062368051094113,-0.3191072525023861,0.02712761137039769
2025-10-11 06:00:00+00:00,0.18634106762135189,0.27498279979936774,0.10960395732312306,0.30183378725726284,0.04062368051094113,-0.30350210587111365,0.012217335188130885
2025-10-11 07:00:00+00:00,0.14537487167005675,0.2624246549235546,0.0941045382049289,0.28563796881665005,0.015646980805217866,-0.3014498919585269,0.0009696415932158567
2025-10-11 08:00:00+00:00,0.11795571403301702,0.24843125238664393,0.0878184619667728,0.27845667221269926,0.0019448101563303102,-0.2971048387015269,0.0009696415932158567
2025-10-11 09:00:00+00:00,0.09162159843569005,0.24375599681355234,0.07582220504076892,0.2713409148035202,-0.011609231375333571,-0.29589808130902023,0.0009696415932158567
2025-10-11 10:00:00+00:00,0.07856503747644279,0.24042980827851004,0.058121119397360865,0.26807540528517054,-0.011609231375333571,-0.29461470663379125,0.005499106937808381
2025-10-11 11:00:00+00:00,0.060048985900310804,0.23234581088411582,0.045362266252823184,0.26807540528517054,-0.011609231375333571,-0.29337441205691817,0.005499106937808381
2025-10-11 12:00:00+00:00,0.06360497172921188,0.23697832535058416,0.047110833169263566,0.26807540528517054,-0.009630050983133489,-0.30014644360806636,0.005180376618703501
2025-10-11 13:00:00+00:00,0.06526117881416447,0.23697832535058416,0.048869985724406796,0.2685279689461892,-0.007672734646677574,-0.3073596405511517,0.00486113144406302
2025-10-11 14:00:00+00:00,0.06695057468670913,0.238663255233377,0.05152799330678419,0.26898799679515545,-0.007672734646677574,-0.3073596405511517,0.004225196658079537
2025-10-11 15:00:00+00:00,0.0778648029715127,0.24881418588557874,0.05964260568008033,0.27252765894970904,-0.0017124869397646281,-0.32092091213099905,-0.002248756120467339
2025-10-11 16:00:00+00:00,0.09688690722297906,0.2572069034178531,0.08730942768757045,0.28048514156157617,-0.0017124869397646281,-0.3254770348454417,-0.002248756120467339
2025-10-11 17:00:00+00:00,0.11452520048351487,0.2640680268951572,0.11570054347558052,0.28985424801282084,-0.0017124869397646281,-0.32092091213099905,-0.002248756120467339
2025-10-11 18:00:00+00:00,0.1255851787509685,0.2761131128233225,0.1338421829304207,0.2943531868829941,-0.0017124869397646281,-0.3144996911478797,-0.002248756120467339
2025-10-11 19:00:00+00:00,0.1255851787509685,0.2865697733704341,0.15203405944424567,0.2988166533311233,-0.0017124869397646281,-0.29989145567797604,0.0007225751540025395
2025-10-11 20:00:00+00:00,0.1307685195324256,0.2889150504263071,0.1703041729640967,0.2988166533311233,-0.0017124869397646281,-0.2853937219418042,0.0036602703841441065
2025-10-11 21:00:00+00:00,0.13589074079303667,0.29157251631839026,0.18868088628355595,0.2988166533311233,-0.0017124869397646281,-0.27099231566579157,0.006558972461668126
2025-10-11 22:00:00+00:00,0.14654871774178257,0.2998356986122947,0.19884393231963798,0.30076088297217024,-0.0017124869397646281,-0.25667335485980386,0.01237134155137885
2025-10-11 23:00:00+00:00,0.16721721443008203,0.30742461838434176,0.22173630741483813,0.30849277043807444,0.01578412542757101,-0.24242318283540665,0.01534601238296746
2025-10-12 00:00:00+00:00,0.18380751946142476,0.31657735629642425,0.24586072128403696,0.3288065989468059,0.034357766473508106,-0.22310034179473937,0.01836216939271017
2025-10-12 01:00:00+00:00,0.19847749692543756,0.31657735629642425,0.3338940030622168,0.3564285982640139,0.06808618242856,-0.1960356996843907,0.029732451384680482
2025-10-12 02:00:00+00:00,0.2136559290414595,0.31657735629642425,0.43378810454302297,0.3962289902275027,0.10168008556346234,-0.15401326998033854,0.029732451384680482
2025-10-12 03:00:00+00:00,0.20063086810921543,0.3285395936553538,0.3928854030468215,0.3620767067562878,0.011790923671493517,-0.20756497490640413,0.014961357451781333
2025-10-12 04:00:00+00:00,0.19308996794645608,0.3285395936553538,0.3699055459945103,0.3461274355456633,-0.01857846715178966,-0.2418427406678111,0.005193624893384468
2025-10-12 05:00:00+00:00,0.18536005249813972,0.3285395936553538,0.3256985164632945,0.3298471730719035,-0.04892532837685195,-0.2714131356858328,-0.009786832872164308
2025-10-12 06:00:00+00:00,0.2035726669036999,0.3285395936553538,0.29017323176737425,0.3110485246599296,-0.0792983354019165,-0.30632650790780036,-0.009786832872164308
2025-10-12 07:00:00+00:00,0.19214260429648264,0.3178248404239905,0.25411776613785164,0.29496959105232995,-0.0792983354019165,-0.33963588704282427,-0.01474983675339465
2025-10-12 08:00:00+00:00,0.1823554350294295,0.3245839694216734,0.22584302431610156,0.2843574234791872,-0.0720533992980943,-0.3537697239934208,-0.006091930451281598
2025-10-12 09:00:00+00:00,0.17679385340578158,0.3193989423694191,0.20731533909914884,0.2763451240022406,-0.0720533992980943,-0.36268099508782115,-0.008436978963301223
2025-10-12 10:00:00+00:00,0.16266395828818012,0.3105292683413793,0.19845890635055724,0.26961386868854603,-0.08653348177444663,-0.37194754221036125,-0.010780073327484043
